date,open,high,low,close,volume
2017-03-03 09:15:00+05:30,8885.55,8887.4,8873.6,8883.6,0
2017-03-03 09:16:00+05:30,8883.7,8887.0,8879.7,8879.7,0
2017-03-03 09:17:00+05:30,8879.05,8882.05,8878.5,8882.05,0
2017-03-03 09:18:00+05:30,8882.15,8882.95,8871.9,8876.85,0
2017-03-03 09:19:00+05:30,8877.0,8877.0,8872.35,8873.1,0
2017-03-03 09:20:00+05:30,8873.65,8874.95,8868.45,8873.3,0
2017-03-03 09:21:00+05:30,8873.8,8882.4,8872.55,8880.6,0
2017-03-03 09:22:00+05:30,8880.45,8885.1,8876.55,8885.1,0
2017-03-03 09:23:00+05:30,8884.55,8885.55,8880.05,8881.95,0
2017-03-03 09:24:00+05:30,8882.85,8888.1,8880.7,8885.4,0
2017-03-03 09:25:00+05:30,8885.15,8886.0,8880.95,8882.8,0
2017-03-03 09:26:00+05:30,8884.15,8893.8,8883.8,8893.1,0
2017-03-03 09:27:00+05:30,8893.25,8893.75,8889.5,8890.4,0
2017-03-03 09:28:00+05:30,8890.5,8892.85,8889.65,8892.45,0
2017-03-03 09:29:00+05:30,8892.4,8898.25,8892.4,8893.95,0
2017-03-03 09:30:00+05:30,8893.6,8894.35,8891.55,8893.15,0
2017-03-03 09:31:00+05:30,8892.75,8893.65,8886.5,8886.55,0
2017-03-03 09:32:00+05:30,8886.55,8888.85,8883.5,8883.5,0
2017-03-03 09:33:00+05:30,8883.05,8883.55,8881.15,8881.15,0
2017-03-03 09:34:00+05:30,8880.8,8880.8,8877.85,8878.15,0
2017-03-03 09:35:00+05:30,8878.4,8882.6,8876.6,8882.5,0
2017-03-03 09:36:00+05:30,8882.65,8885.75,8882.65,8884.05,0
2017-03-03 09:37:00+05:30,8884.15,8886.55,8883.0,8886.55,0
2017-03-03 09:38:00+05:30,8886.4,8888.7,8886.4,8886.85,0
2017-03-03 09:39:00+05:30,8886.75,8887.15,8885.05,8886.75,0
2017-03-03 09:40:00+05:30,8886.75,8887.9,8880.5,8880.5,0
2017-03-03 09:41:00+05:30,8881.2,8884.9,8881.2,8884.5,0
2017-03-03 09:42:00+05:30,8884.2,8884.25,8880.8,8882.9,0
2017-03-03 09:43:00+05:30,8882.65,8886.05,8882.25,8885.85,0
2017-03-03 09:44:00+05:30,8885.85,8885.85,8880.7,8883.95,0
2017-03-03 09:45:00+05:30,8883.7,8883.7,8880.55,8881.2,0
2017-03-03 09:46:00+05:30,8881.2,8881.2,8875.4,8875.75,0
2017-03-03 09:47:00+05:30,8876.15,8877.9,8873.2,8874.05,0
2017-03-03 09:48:00+05:30,8874.05,8874.05,8869.1,8870.7,0
2017-03-03 09:49:00+05:30,8871.4,8872.1,8868.6,8868.6,0
2017-03-03 09:50:00+05:30,8868.4,8869.0,8865.95,8867.55,0
2017-03-03 09:51:00+05:30,8867.45,8871.75,8867.05,8871.75,0
2017-03-03 09:52:00+05:30,8871.95,8874.6,8871.35,8874.45,0
2017-03-03 09:53:00+05:30,8874.4,8876.1,8871.6,8871.95,0
2017-03-03 09:54:00+05:30,8872.2,8872.4,8867.85,8867.85,0
2017-03-03 09:55:00+05:30,8867.95,8868.6,8865.8,8866.3,0
2017-03-03 09:56:00+05:30,8866.35,8868.35,8865.6,8867.85,0
2017-03-03 09:57:00+05:30,8868.0,8868.0,8865.9,8867.75,0
2017-03-03 09:58:00+05:30,8867.35,8870.65,8867.05,8870.2,0
2017-03-03 09:59:00+05:30,8870.8,8871.1,8868.2,8868.2,0
2017-03-03 10:00:00+05:30,8868.35,8869.15,8865.55,8868.65,0
2017-03-03 10:01:00+05:30,8868.45,8869.95,8868.2,8869.2,0
2017-03-03 10:02:00+05:30,8869.95,8869.95,8864.95,8865.5,0
2017-03-03 10:03:00+05:30,8865.4,8869.6,8865.4,8869.15,0
2017-03-03 10:04:00+05:30,8869.4,8869.4,8864.9,8866.15,0
2017-03-03 10:05:00+05:30,8866.6,8866.6,8863.65,8864.15,0
2017-03-03 10:06:00+05:30,8863.95,8866.75,8862.65,8866.65,0
2017-03-03 10:07:00+05:30,8866.95,8869.35,8865.05,8868.95,0
2017-03-03 10:08:00+05:30,8868.4,8869.55,8868.1,8868.15,0
2017-03-03 10:09:00+05:30,8868.05,8870.35,8867.5,8867.55,0
2017-03-03 10:10:00+05:30,8867.65,8873.1,8866.7,8873.1,0
2017-03-03 10:11:00+05:30,8873.35,8875.75,8873.2,8873.75,0
2017-03-03 10:12:00+05:30,8873.7,8874.8,8873.35,8874.75,0
